因子代码,曾用名,开始时间,结束时间,研发状态,因子说明,数据类型,指数及指数列名,分钟指数及指数列名,选股指数,衍生因子,更新方式,是否盘口因子,因子平滑方式,备注,因子数据分布特征,1日rankIC,5日rankIC,20日rankIC,,,,
hf_pang_026[20],hf_pang_026[20],2020-08-07,,测试,每日成交量排名前30%的分钟累计收益率,code_min,None,None,None,否,增量,否,None,刻画大单驱动的动量,,,,,,,,
hf_pang_027[20],hf_pang_027[20],2020-09-28,2020-09-28,备用,N日内温和收益（参考东方证券研报）,code_min,None,None,None,否,增量,否,None,表现为动量效应，分层明显,,,0.030603221,0.053868846,,,,
hf_pang_028[20],hf_pang_028[20],2020-09-28,2020-09-28,备用,N日内极端收益（参考东方证券研报）,code_min,None,None,None,否,增量,否,None,表现为反转效应，分层明显，与日内收益回撤比相关度高，但是与N日动量相关度不高,,,-0.067238683,-0.093343192,,,,
hf_pang_029[5],hf_pang_029[5],2020-09-29,2020-09-29,备用,个股日内分钟收益率的标准差,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征（太大或者太小均不好）,,,-0.056857807,-0.070150472,,,,
hf_pang_029[20],hf_pang_029[20],2020-08-05,,测试,个股日内分钟收益率的标准差,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,,,,,,,,
hf_pang_030[5],hf_pang_030[5],2020-09-29,2020-09-29,备用,个股日内分钟收益率的峰度,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,,,-0.044810619,-0.058069021,,,,
hf_pang_030[20],hf_pang_030[20],2020-09-29,2020-09-29,备用,个股日内分钟收益率的峰度,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,,,-0.047981514,-0.065016469,,,,
hf_pang_031[5],hf_pang_031[5],2020-09-29,2020-09-29,备用,个股日内分钟收益率的下行波动率占比,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,,,0.046604153,0.057631959,,,,
hf_pang_031[20],hf_pang_031[20],2020-09-29,2020-09-29,备用,个股日内分钟收益率的下行波动率占比,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,,,0.058737142,0.083548141,,,,
hf_pang_032[5],hf_pang_032[5],2020-09-29,2020-09-29,备用,个股日内量价相关性（去空值）,code_min,None,None,None,否,增量,否,None,刻画分钟级别背离,,,-0.051118048,-0.047778789,,,,
hf_pang_032[20],hf_pang_032[20],2020-09-29,2020-09-29,备用,个股日内量价相关性（去空值）,code_min,None,None,None,否,增量,否,None,刻画分钟级别背离,,,-0.047756803,-0.053219408,,,,
hf_pang_033[5],hf_pang_033[5],2020-09-29,2020-09-29,备用,剔除隔夜与开盘半小时收益率的动量因子,code_min,None,None,None,否,增量,否,None,刻画反转,,,-0.052410357,-0.050104189,,,,
hf_pang_033[20],hf_pang_033[20],2020-09-29,2020-09-29,备用,剔除隔夜与开盘半小时收益率的动量因子,code_min,None,None,None,否,增量,否,None,刻画反转,,,-0.061724114,-0.069903546,,,,
hf_pang_034[20],hf_pang_034[20],2020-10-14,,测试,个股日内分钟收益率的标准差的N日标准差,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征（与日收益率标准差相关性-0.6）,,,-0.072,-0.089,,,,
hf_pang_035[20],hf_pang_035[20],2020-10-14,,测试,个股日内分钟收益率的标准差的N日标准差,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征（去空值）（与日收益率标准差相关性-0.6）,,,,,,,,
hf_pang_036[20],hf_pang_036[20],2020-10-14,2020-10-14,入库,个股日内分钟收益率的标准差的N日标准差比均值,code_min,None,None,None,否,增量,否,None,刻画日内收益率的信息分布特征,大于等于0,,-0.059010889,-0.073476683,,,,
hf_pang_037[20],hf_pang_037[20],2020-10-14,2020-10-14,入库,个股日内分钟收益率的标准差的N日标准差比均值,code_min,None,None,None,否,增量,否,None,刻画日内收益率的信息分布特征（去空值）,大于等于0,,-0.059093335,-0.073650267,,,,
hf_pang_038[5],hf_pang_038[5],2020-10-15,,测试,1分钟K线下的N日收益率标准差,code_min,None,None,None,否,增量,否,None,多周期因子（与波动因子相关性高，-0.5）,,,-0.061,-0.075,,,,
hf_pang_038[10],hf_pang_038[10],2020-10-15,,测试,1分钟K线下的N日收益率标准差,code_min,None,None,None,否,增量,否,None,多周期因子（与波动因子相关性高，-0.5）,,,,,,,,
hf_pang_038[20],hf_pang_038[20],2020-10-15,,测试,1分钟K线下的N日收益率标准差,code_min,None,None,None,否,增量,否,None,多周期因子（与波动因子相关性高，-0.5）,,,-0.058,-0.074,,,,
hf_pang_039[5],hf_pang_039[5],2020-10-15,,测试,1分钟K线下的N日收益率标准差（去空值）,code_min,None,None,None,否,增量,否,None,多周期因子（与波动因子相关性高，-0.5）,,,,,,,,
hf_pang_039[10],hf_pang_039[10],2020-10-15,,测试,1分钟K线下的N日收益率标准差（去空值）,code_min,None,None,None,否,增量,否,None,多周期因子（与波动因子相关性高，-0.5）,,,,,,,,
hf_pang_039[20],hf_pang_039[20],2020-10-15,,测试,1分钟K线下的N日收益率标准差（去空值）,code_min,None,None,None,否,增量,否,None,多周期因子（与波动因子相关性高，-0.5）,,,,,,,,
hf_pang_040[5],hf_pang_040[5],2020-10-15,,测试,1分钟K线下的N日收益率偏度,code_min,None,None,None,否,增量,否,None,多周期因子,,,-0.038,-0.04,,,,
hf_pang_040[10],hf_pang_040[10],2020-10-15,,测试,1分钟K线下的N日收益率偏度,code_min,None,None,None,否,增量,否,None,多周期因子,,,,,,,,
hf_pang_040[20],hf_pang_040[20],2020-10-15,,测试,1分钟K线下的N日收益率偏度,code_min,None,None,None,否,增量,否,None,多周期因子,,,-0.045,-0.057,,,,
hf_pang_041[5],hf_pang_041[5],2020-10-15,,测试,1分钟K线下的N日收益率偏度（去空值）,code_min,None,None,None,否,增量,否,None,多周期因子,,,,,,,,
hf_pang_041[10],hf_pang_041[10],2020-10-15,,测试,1分钟K线下的N日收益率偏度（去空值）,code_min,None,None,None,否,增量,否,None,多周期因子,,,,,,,,
hf_pang_041[20],hf_pang_041[20],2020-10-15,,测试,1分钟K线下的N日收益率偏度（去空值）,code_min,None,None,None,否,增量,否,None,多周期因子,,,,,,,,
hf_pang_042[5],hf_pang_042[5],2020-10-16,2020-10-16,入库,1分钟K线下的N日收益率峰度,code_min,None,None,None,否,增量,否,None,多周期因子,绝大部分大于-2,,-0.046105904,-0.058091409,,,,
hf_pang_042[10],hf_pang_042[10],2020-10-16,2020-10-16,入库,1分钟K线下的N日收益率峰度,code_min,None,None,None,否,增量,否,None,多周期因子,绝大部分大于-2,,-0.050239804,-0.062389074,,,,
hf_pang_042[20],hf_pang_042[20],2020-10-16,2020-10-16,入库,1分钟K线下的N日收益率峰度,code_min,None,None,None,否,增量,否,None,多周期因子,绝大部分大于-2,,-0.04769921,-0.059857877,,,,
hf_pang_043[5],hf_pang_043[5],2020-10-16,2020-10-16,入库,1分钟K线下的N日收益率峰度（去空值）,code_min,None,None,None,否,增量,否,None,多周期因子,绝大部分大于-2,,-0.046118525,-0.058091649,,,,
hf_pang_043[10],hf_pang_043[10],2020-10-16,2020-10-16,入库,1分钟K线下的N日收益率峰度（去空值）,code_min,None,None,None,否,增量,否,None,多周期因子,绝大部分大于-2,,-0.050317107,-0.062400763,,,,
