ÈÕÆÚ,¹ÉÆ±
20220309,"	600022"
20220309,"	600026"
20220309,"	600056"
20220309,"	600166"
20220309,"	600297"
20220309,"	600299"
20220309,"	600307"
20220309,"	600339"
20220309,"	600369"
20220309,"	600376"
20220309,"	600409"
20220309,"	600466"
20220309,"	600497"
20220309,"	600657"
20220309,"	600862"
20220309,"	600941"
20220309,"	601005"
20220309,"	601106"
20220309,"	601155"
20220309,"	601236"
20220309,"	601333"
20220309,"	601600"
20220309,"	601608"
20220309,"	601618"
20220309,"	601868"
20220309,"	601872"
20220309,"	601933"
20220309,"	603317"
20220309,"	603638"
20220309,"	603659"
20220309,"	603799"
20220309,"	603868"
20220309,"	603899"
20220309,"	688188"
20220309,"	688536"
20220310,"	000661"
20220310,"	000739"
20220310,"	000778"
20220310,"	002004"
20220310,"	002326"
20220310,"	002407"
20220310,"	002493"
20220310,"	002506"
20220310,"	002709"
20220310,"	300482"
20220310,"	600022"
20220310,"	600048"
20220310,"	600056"
20220310,"	600060"
20220310,"	600132"
20220310,"	600177"
20220310,"	600196"
20220310,"	600233"
20220310,"	600256"
20220310,"	600298"
20220310,"	600346"
20220310,"	600352"
20220310,"	600392"
20220310,"	600399"
20220310,"	600486"
20220310,"	600582"
20220310,"	600588"
20220310,"	600637"
20220310,"	600642"
20220310,"	600704"
20220310,"	600765"
20220310,"	600811"
20220310,"	600820"
20220310,"	600835"
20220310,"	600859"
20220310,"	600875"
20220310,"	600909"
20220310,"	600941"
20220310,"	601139"
20220310,"	601169"
20220310,"	601187"
20220310,"	601228"
20220310,"	601231"
20220310,"	601288"
20220310,"	601333"
20220310,"	601456"
20220310,"	601598"
20220310,"	601618"
20220310,"	601636"
20220310,"	601689"
20220310,"	601696"
20220310,"	601728"
20220310,"	601799"
20220310,"	601808"
20220310,"	601860"
20220310,"	601865"
20220310,"	601881"
20220310,"	601916"
20220310,"	601919"
20220310,"	601975"
20220310,"	601998"
20220310,"	603259"
20220310,"	603260"
20220310,"	603267"
20220310,"	603456"
20220310,"	603486"
20220310,"	603605"
20220310,"	603659"
20220310,"	603786"
20220310,"	603858"
20220310,"	603868"
20220310,"	603882"
20220310,"	603885"
20220310,"	603893"
20220310,"	603927"
20220310,"	605117"
20220310,"	688005"
20220310,"	688012"
20220310,"	688065"
20220310,"	688099"
20220310,"	688180"
20220310,"	688208"
20220310,"	688289"
20220310,"	688321"
20220310,"	688536"
20220310,"	688777"
20220310,"	689009"
20220311,"	000537"
20220311,"	002223"
20220311,"	002603"
20220311,"	002945"
20220311,"	300257"
20220311,"	300482"
20220311,"	600011"
20220311,"	600056"
20220311,"	600096"
20220311,"	600566"
20220311,"	600885"
20220311,"	600918"
20220311,"	601696"
20220311,"	601995"
20220311,"	603233"
20220311,"	603799"
20220311,"	603868"
20220311,"	603939"
20220311,"	688188"
20220311,"	689009"
20220314,"	000739"
20220314,"	000807"
20220314,"	000997"
20220314,"	002027"
20220314,"	002603"
20220314,"	002867"
20220314,"	300257"
20220314,"	600056"
20220314,"	600196"
20220314,"	600521"
20220314,"	600657"
20220314,"	601696"
20220314,"	601933"
20220314,"	603056"
20220314,"	603712"
20220314,"	688188"
20220314,"	688536"
20220314,"	689009"
20220315,"	000031"
20220315,"	000046"
20220315,"	000060"
20220315,"	000415"
20220315,"	000629"
20220315,"	000630"
20220315,"	000656"
20220315,"	000671"
20220315,"	000709"
20220315,"	000717"
20220315,"	000807"
20220315,"	000883"
20220315,"	000895"
20220315,"	000898"
20220315,"	000932"
20220315,"	000937"
20220315,"	000959"
20220315,"	000960"
20220315,"	000961"
20220315,"	000963"
20220315,"	000975"
20220315,"	000983"
20220315,"	001979"
20220315,"	002002"
20220315,"	002010"
20220315,"	002024"
20220315,"	002044"
20220315,"	002092"
20220315,"	002131"
20220315,"	002146"
20220315,"	002195"
20220315,"	002212"
20220315,"	002244"
20220315,"	002353"
20220315,"	002408"
20220315,"	002507"
20220315,"	002867"
20220315,"	003816"
20220315,"	300257"
20220315,"	600010"
20220315,"	600021"
20220315,"	600022"
20220315,"	600027"
20220315,"	600048"
20220315,"	600056"
20220315,"	600157"
20220315,"	600166"
20220315,"	600216"
20220315,"	600219"
20220315,"	600282"
20220315,"	600297"
20220315,"	600307"
20220315,"	600339"
20220315,"	600348"
20220315,"	600383"
20220315,"	600409"
20220315,"	600466"
20220315,"	600489"
20220315,"	600497"
20220315,"	600507"
20220315,"	600528"
20220315,"	600546"
20220315,"	600657"
20220315,"	600707"
20220315,"	600763"
20220315,"	600782"
20220315,"	600795"
20220315,"	600801"
20220315,"	600808"
20220315,"	600871"
20220315,"	600903"
20220315,"	600906"
20220315,"	600917"
20220315,"	600968"
20220315,"	600985"
20220315,"	600988"
20220315,"	601000"
20220315,"	601005"
20220315,"	601016"
20220315,"	601155"
20220315,"	601333"
20220315,"	601600"
20220315,"	601611"
20220315,"	601618"
20220315,"	601669"
20220315,"	601699"
20220315,"	601717"
20220315,"	601718"
20220315,"	601778"
20220315,"	601866"
20220315,"	601872"
20220315,"	601898"
20220315,"	601928"
20220315,"	601975"
20220315,"	601991"
20220315,"	603000"
20220315,"	603056"
20220315,"	603077"
20220315,"	603233"
20220315,"	603589"
20220315,"	603638"
20220315,"	603707"
20220315,"	603868"
20220315,"	603883"
20220315,"	603993"
20220315,"	688006"
20220315,"	688169"
20220315,"	688188"
20220315,"	688536"
20220316,"	000415"
20220316,"	000540"
20220316,"	000776"
20220316,"	001227"
20220316,"	002027"
20220316,"	002430"
20220316,"	002670"
20220316,"	002945"
20220316,"	300257"
20220316,"	600011"
20220316,"	600021"
20220316,"	600029"
20220316,"	600056"
20220316,"	600115"
20220316,"	600258"
20220316,"	600350"
20220316,"	600406"
20220316,"	600466"
20220316,"	600521"
20220316,"	600522"
20220316,"	600827"
20220316,"	600918"
20220316,"	600958"
20220316,"	601111"
20220316,"	601333"
20220316,"	601689"
20220316,"	601696"
20220316,"	601799"
20220316,"	601838"
20220316,"	601985"
20220316,"	603056"
20220316,"	603228"
20220316,"	603290"
20220316,"	603501"
20220316,"	603707"
20220316,"	603806"
20220316,"	603868"
20220316,"	603885"
20220316,"	688188"
20220317,"	000046"
20220317,"	000656"
20220317,"	000671"
20220317,"	000718"
20220317,"	000739"
20220317,"	000961"
20220317,"	001914"
20220317,"	002146"
20220317,"	002244"
20220317,"	002384"
20220317,"	002408"
20220317,"	002422"
