20200709,"	300498"
20200709,"	300558"
20200709,"	300595"
20200709,"	300601"
20200709,"	300618"
20200709,"	300628"
20200709,"	300630"
20200709,"	600000"
20200709,"	600004"
20200709,"	600006"
20200709,"	600008"
20200709,"	600009"
20200709,"	600010"
20200709,"	600011"
20200709,"	600015"
20200709,"	600016"
20200709,"	600017"
20200709,"	600018"
20200709,"	600019"
20200709,"	600021"
20200709,"	600022"
20200709,"	600025"
20200709,"	600026"
20200709,"	600027"
20200709,"	600028"
20200709,"	600029"
20200709,"	600030"
20200709,"	600031"
20200709,"	600036"
20200709,"	600037"
20200709,"	600038"
20200709,"	600039"
20200709,"	600048"
20200709,"	600050"
20200709,"	600053"
20200709,"	600056"
20200709,"	600058"
20200709,"	600060"
20200709,"	600061"
20200709,"	600062"
20200709,"	600064"
20200709,"	600066"
20200709,"	600068"
20200709,"	600073"
20200709,"	600079"
20200709,"	600085"
20200709,"	600089"
20200709,"	600094"
20200709,"	600104"
20200709,"	600109"
20200709,"	600111"
20200709,"	600115"
20200709,"	600118"
20200709,"	600120"
20200709,"	600125"
20200709,"	600126"
20200709,"	600132"
20200709,"	600138"
20200709,"	600141"
20200709,"	600143"
20200709,"	600153"
20200709,"	600155"
20200709,"	600158"
20200709,"	600160"
20200709,"	600161"
20200709,"	600166"
20200709,"	600167"
20200709,"	600170"
20200709,"	600171"
20200709,"	600176"
20200709,"	600177"
20200709,"	600183"
20200709,"	600188"
20200709,"	600195"
20200709,"	600196"
20200709,"	600201"
20200709,"	600208"
20200709,"	600216"
20200709,"	600219"
20200709,"	600221"
20200709,"	600233"
20200709,"	600256"
20200709,"	600258"
20200709,"	600259"
20200709,"	600260"
20200709,"	600266"
20200709,"	600271"
20200709,"	600273"
20200709,"	600276"
20200709,"	600277"
20200709,"	600282"
20200709,"	600291"
20200709,"	600297"
20200709,"	600298"
20200709,"	600299"
20200709,"	600307"
20200709,"	600309"
20200709,"	600312"
20200709,"	600315"
20200709,"	600316"
20200709,"	600325"
20200709,"	600329"
20200709,"	600332"
20200709,"	600335"
20200709,"	600338"
20200709,"	600339"
20200709,"	600340"
20200709,"	600346"
20200709,"	600348"
20200709,"	600350"
20200709,"	600352"
20200709,"	600362"
20200709,"	600369"
20200709,"	600372"
20200709,"	600373"
20200709,"	600376"
20200709,"	600380"
20200709,"	600383"
20200709,"	600388"
20200709,"	600390"
20200709,"	600392"
20200709,"	600398"
20200709,"	600406"
20200709,"	600409"
20200709,"	600410"
20200709,"	600415"
20200709,"	600418"
20200709,"	600426"
20200709,"	600428"
20200709,"	600435"
20200709,"	600436"
20200709,"	600438"
20200709,"	600446"
20200709,"	600460"
20200709,"	600466"
20200709,"	600478"
20200709,"	600482"
20200709,"	600486"
20200709,"	600487"
20200709,"	600489"
20200709,"	600497"
20200709,"	600498"
20200709,"	600500"
20200709,"	600507"
20200709,"	600511"
20200709,"	600515"
20200709,"	600516"
20200709,"	600519"
20200709,"	600521"
20200709,"	600522"
20200709,"	600528"
20200709,"	600529"
20200709,"	600535"
20200709,"	600545"
20200709,"	600547"
20200709,"	600549"
20200709,"	600557"
20200709,"	600563"
20200709,"	600565"
20200709,"	600566"
20200709,"	600567"
20200709,"	600570"
20200709,"	600572"
20200709,"	600575"
20200709,"	600580"
20200709,"	600582"
20200709,"	600583"
20200709,"	600585"
20200709,"	600588"
20200709,"	600597"
20200709,"	600598"
20200709,"	600606"
20200709,"	600623"
20200709,"	600633"
20200709,"	600637"
20200709,"	600639"
